qid,sid,stitle,,,,,,,,
NC_004567.2:970871-972781,NZ_CP032751.1,"NZ_CP032751.1 Lactobacillus plantarum subsp. argentoratensis strain DSM 16365 chromosome, complete genome",,,,,,,,
NC_004567.2:970871-972781,NZ_CP032642.1,"NZ_CP032642.1 Lactobacillus plantarum strain ZFM9 chromosome, complete genome",,,,,,,,
NC_004567.2:970871-972781,NZ_CP032466.1,"NZ_CP032466.1 Lactobacillus plantarum strain ATG-K8 chromosome, complete genome",,,,,,,,
NC_004567.2:970871-972781,NZ_CP032464.1,"NZ_CP032464.1 Lactobacillus plantarum strain ATG-K6 chromosome, complete genome",,,,,,,,
NC_004567.2:970871-972781,NZ_CP032359.1,"NZ_CP032359.1 Lactobacillus plantarum strain ZFM55 chromosome, complete genome",,,,,,,,
NC_004567.2:970871-972781,NZ_CP031318.1,"NZ_CP031318.1 Lactobacillus plantarum strain DR7 chromosome, complete genome",,,,,,,,
NC_004567.2:970871-972781,NZ_CP031702.1,"NZ_CP031702.1 Lactobacillus plantarum strain IDCC3501 chromosome, complete genome",,,,,,,,
NC_004567.2:970871-972781,NZ_CP027349.1,"NZ_CP027349.1 Lactobacillus plantarum strain b-2 chromosome, complete genome",,,,,,,,
NC_004567.2:970871-972781,NZ_CP021932.1,"NZ_CP021932.1 Lactobacillus plantarum strain TMW 1.1478 chromosome, complete genome",,,,,,,,
NC_004567.2:970871-972781,NZ_CP030881.1,"NZ_CP030881.1 Lactobacillus plantarum strain nF1 chromosome, complete genome",,,,,,,,
NC_004567.2:970871-972781,NZ_CP022294.1,"NZ_CP022294.1 Lactobacillus plantarum strain DSR_M2 chromosome, complete genome",,,,,,,,
NC_004567.2:970871-972781,NZ_CP030105.1,"NZ_CP030105.1 Lactobacillus plantarum strain SK151 chromosome, complete genome",,,,,,,,
NC_004567.2:970871-972781,NZ_CP029349.1,"NZ_CP029349.1 Lactobacillus plantarum strain HAC01 chromosome, complete genome",,,,,,,,
NC_004567.2:970871-972781,NZ_CP028977.1,"NZ_CP028977.1 Lactobacillus plantarum strain LQ80 chromosome, complete genome",,,,,,,,
NC_004567.2:970871-972781,NZ_CP021086.1,"NZ_CP021086.1 Lactobacillus plantarum strain plantarum chromosome, complete genome",,,,,,,,
NC_004567.2:970871-972781,NZ_CP028326.1,"NZ_CP028326.1 Lactobacillus sp. D1501 chromosome, complete genome",,,,,,,,
NC_004567.2:970871-972781,NZ_CP020093.1,"NZ_CP020093.1 Lactobacillus plantarum strain K25 chromosome, complete genome",,,,,,,,
NC_004567.2:970871-972781,NZ_CP025412.1,"NZ_CP025412.1 Lactobacillus plantarum strain X7021 chromosome, complete genome",,,,,,,,
NC_004567.2:970871-972781,NZ_CP025991.1,"NZ_CP025991.1 Lactobacillus plantarum subsp. plantarum strain LB1-2 chromosome, complete genome",,,,,,,,
NC_004567.2:970871-972781,NZ_CP025988.1,"NZ_CP025988.1 Lactobacillus plantarum strain LM1004 isolate kimchi chromosome, complete genome",,,,,,,,
NC_004567.2:970871-972781,NZ_CP025590.1,"NZ_CP025590.1 Lactobacillus plantarum strain K259 chromosome, complete genome",,,,,,,,
NC_004567.2:970871-972781,NZ_CP024413.1,"NZ_CP024413.1 Lactobacillus plantarum strain ATCC 8014 chromosome, complete genome",,,,,,,,
NC_004567.2:970871-972781,NZ_CP023772.1,"NZ_CP023772.1 Lactobacillus plantarum strain PC520 chromosome, complete genome",,,,,,,,
NC_004567.2:970871-972781,NZ_CP023174.1,"NZ_CP023174.1 Lactobacillus plantarum strain BDGP2 chromosome, complete genome",,,,,,,,
NC_004567.2:970871-972781,NZ_CP017066.1,"NZ_CP017066.1 Lactobacillus plantarum strain LP3 chromosome, complete genome",,,,,,,,
NC_004567.2:970871-972781,NZ_CP020564.1,"NZ_CP020564.1 Lactobacillus plantarum strain GB-LP1 chromosome, complete genome",,,,,,,,
NC_004567.2:970871-972781,NZ_CP022373.1,"NZ_CP022373.1 Lactobacillus plantarum strain dm chromosome, complete genome",,,,,,,,
NC_004567.2:970871-972781,NZ_CP021997.1,"NZ_CP021997.1 Lactobacillus plantarum strain LPL-1 chromosome, complete genome",,,,,,,,
NC_004567.2:970871-972781,NZ_CP017379.1,"NZ_CP017379.1 Lactobacillus plantarum strain TMW 1.1623 chromosome, complete genome",,,,,,,,
NC_004567.2:970871-972781,NZ_CP017374.1,"NZ_CP017374.1 Lactobacillus plantarum strain TMW 1.708 chromosome, complete genome",,,,,,,,
NC_004567.2:970871-972781,NZ_CP018209.1,"NZ_CP018209.1 Lactobacillus plantarum strain BLS41, complete genome",,,,,,,,
NC_004567.2:970871-972781,NZ_CP020816.1,"NZ_CP020816.1 Lactobacillus plantarum strain LP2 chromosome, complete genome",,,,,,,,
