qid,sid,stitle
NC_004567.2:976346-977233,NZ_CP031702.1,"NZ_CP031702.1 Lactobacillus plantarum strain IDCC3501 chromosome, complete genome"
NC_004567.2:976346-977233,NZ_CP030881.1,"NZ_CP030881.1 Lactobacillus plantarum strain nF1 chromosome, complete genome"
NC_004567.2:976346-977233,NZ_CP021086.1,"NZ_CP021086.1 Lactobacillus plantarum strain plantarum chromosome, complete genome"
NC_004567.2:976346-977233,NZ_CP028326.1,"NZ_CP028326.1 Lactobacillus sp. D1501 chromosome, complete genome"
NC_004567.2:976346-977233,NZ_CP017066.1,"NZ_CP017066.1 Lactobacillus plantarum strain LP3 chromosome, complete genome"
NC_004567.2:976346-977233,NZ_CP017379.1,"NZ_CP017379.1 Lactobacillus plantarum strain TMW 1.1623 chromosome, complete genome"
NC_004567.2:976346-977233,NZ_CP017374.1,"NZ_CP017374.1 Lactobacillus plantarum strain TMW 1.708 chromosome, complete genome"
NC_004567.2:976346-977233,NZ_CP018209.1,"NZ_CP018209.1 Lactobacillus plantarum strain BLS41, complete genome"
NC_004567.2:976346-977233,NZ_CP020861.1,"NZ_CP020861.1 Lactobacillus plantarum strain JBE490 chromosome, complete genome"
NC_004567.2:976346-977233,NZ_CP017406.1,"NZ_CP017406.1 Lactobacillus plantarum strain RI-113 chromosome, complete genome"
NC_004567.2:976346-977233,NZ_CP014780.1,"NZ_CP014780.1 Lactobacillus plantarum strain JBE245 chromosome, complete genome"
NC_004567.2:976346-977233,NZ_CP023771.1,"NZ_CP023771.1 Lactobacillus plantarum strain WLPL04 chromosome, complete genome"
NC_004567.2:976346-977233,NC_004567.2,"NC_004567.2 Lactobacillus plantarum WCFS1, complete genome"
NC_004567.2:976346-977233,NZ_CP032642.1,"NZ_CP032642.1 Lactobacillus plantarum strain ZFM9 chromosome, complete genome"
NC_004567.2:976346-977233,NZ_CP032466.1,"NZ_CP032466.1 Lactobacillus plantarum strain ATG-K8 chromosome, complete genome"
NC_004567.2:976346-977233,NZ_CP032464.1,"NZ_CP032464.1 Lactobacillus plantarum strain ATG-K6 chromosome, complete genome"
NC_004567.2:976346-977233,NZ_CP032359.1,"NZ_CP032359.1 Lactobacillus plantarum strain ZFM55 chromosome, complete genome"
NC_004567.2:976346-977233,NZ_CP031318.1,"NZ_CP031318.1 Lactobacillus plantarum strain DR7 chromosome, complete genome"
NC_004567.2:976346-977233,NZ_CP030105.1,"NZ_CP030105.1 Lactobacillus plantarum strain SK151 chromosome, complete genome"
NC_004567.2:976346-977233,NZ_CP029349.1,"NZ_CP029349.1 Lactobacillus plantarum strain HAC01 chromosome, complete genome"
NC_004567.2:976346-977233,NZ_CP025590.1,"NZ_CP025590.1 Lactobacillus plantarum strain K259 chromosome, complete genome"
NC_004567.2:976346-977233,NZ_CP023174.1,"NZ_CP023174.1 Lactobacillus plantarum strain BDGP2 chromosome, complete genome"
NC_004567.2:976346-977233,NZ_CP022373.1,"NZ_CP022373.1 Lactobacillus plantarum strain dm chromosome, complete genome"
NC_004567.2:976346-977233,NZ_CP019722.1,"NZ_CP019722.1 Lactobacillus plantarum strain CLP0611 chromosome, complete genome"
NC_004567.2:976346-977233,NZ_CP017954.1,"NZ_CP017954.1 Lactobacillus plantarum strain C410L1, complete genome"
NC_004567.2:976346-977233,NZ_CP013753.1,"NZ_CP013753.1 Lactobacillus plantarum strain DF, complete genome"
NC_004567.2:976346-977233,NZ_CP013749.1,"NZ_CP013749.1 Lactobacillus plantarum strain KP, complete genome"
NC_004567.2:976346-977233,NZ_CP015126.1,"NZ_CP015126.1 Lactobacillus plantarum strain CAUH2, complete genome"
NC_004567.2:976346-977233,NZ_CP012122.1,"NZ_CP012122.1 Lactobacillus plantarum strain LZ95, complete genome"
NC_004567.2:976346-977233,NZ_CP012650.1,"NZ_CP012650.1 Lactobacillus plantarum strain HFC8, complete genome"
NC_004567.2:976346-977233,NC_021514.1,"NC_021514.1 Lactobacillus plantarum 16, complete genome"
NC_004567.2:976346-977233,NC_021224.2,"NC_021224.2 Lactobacillus plantarum subsp. plantarum P-8, complete genome"
NC_004567.2:976346-977233,NZ_CP025988.1,"NZ_CP025988.1 Lactobacillus plantarum strain LM1004 isolate kimchi chromosome, complete genome"
NC_004567.2:976346-977233,NZ_CP021501.1,"NZ_CP021501.1 Lactobacillus plantarum strain SRCM102022 chromosome, complete genome"
NC_004567.2:976346-977233,NZ_CP018324.1,"NZ_CP018324.1 Lactobacillus plantarum subsp. plantarum strain TS12 chromosome, complete genome"
NC_004567.2:976346-977233,NZ_CP016071.1,"NZ_CP016071.1 Lactobacillus plantarum strain NCU116 chromosome, complete genome"
NC_004567.2:976346-977233,NZ_CP020093.1,"NZ_CP020093.1 Lactobacillus plantarum strain K25 chromosome, complete genome"
NC_004567.2:976346-977233,NZ_CP023772.1,"NZ_CP023772.1 Lactobacillus plantarum strain PC520 chromosome, complete genome"
NC_004567.2:976346-977233,NZ_CP020816.1,"NZ_CP020816.1 Lactobacillus plantarum strain LP2 chromosome, complete genome"
NC_004567.2:976346-977233,NZ_CP015308.1,"NZ_CP015308.1 Lactobacillus plantarum strain LY-78, complete genome"
NC_004567.2:976346-977233,NZ_CP009236.1,"NZ_CP009236.1 Lactobacillus plantarum strain 5-2, complete genome"
NC_004567.2:976346-977233,NZ_CP016270.1,"NZ_CP016270.1 Lactobacillus plantarum subsp. plantarum strain CGMCC 1.557 chromosome, complete genome"
NC_004567.2:976346-977233,NC_014554.1,"NC_014554.1 Lactobacillus plantarum subsp. plantarum ST-III, complete genome"
NC_004567.2:976346-977233,NZ_CP028977.1,"NZ_CP028977.1 Lactobacillus plantarum strain LQ80 chromosome, complete genome"
NC_004567.2:976346-977233,NZ_CP011769.1,"NZ_CP011769.1 Lactobacillus plantarum strain Zhang-LL, complete genome"
NC_004567.2:976346-977233,NZ_CP024413.1,"NZ_CP024413.1 Lactobacillus plantarum strain ATCC 8014 chromosome, complete genome"
NC_004567.2:976346-977233,NZ_CP020564.1,"NZ_CP020564.1 Lactobacillus plantarum strain GB-LP1 chromosome, complete genome"
NC_004567.2:976346-977233,NZ_CP023728.1,"NZ_CP023728.1 Lactobacillus plantarum strain 10CH chromosome, complete genome"
NC_004567.2:976346-977233,NZ_CP004406.1,"NZ_CP004406.1 Lactobacillus plantarum DOMLa, complete genome"
NC_004567.2:976346-977233,NC_012984.1,"NC_012984.1 Lactobacillus plantarum JDM1, complete genome"
NC_004567.2:976346-977233,NZ_CP032648.1,"NZ_CP032648.1 Lactobacillus plantarum strain ZFM4 chromosome, complete genome"
NC_004567.2:976346-977233,NZ_CP023490.1,"NZ_CP023490.1 Lactobacillus plantarum strain NCIMB 700965 chromosome, complete genome"
NC_004567.2:976346-977233,NZ_CP027349.1,"NZ_CP027349.1 Lactobacillus plantarum strain b-2 chromosome, complete genome"
NC_004567.2:976346-977233,NZ_CP021932.1,"NZ_CP021932.1 Lactobacillus plantarum strain TMW 1.1478 chromosome, complete genome"
NC_004567.2:976346-977233,NZ_CP022294.1,"NZ_CP022294.1 Lactobacillus plantarum strain DSR_M2 chromosome, complete genome"
NC_004567.2:976346-977233,NZ_CP026743.1,"NZ_CP026743.1 Lactobacillus plantarum strain KC28 chromosome, complete genome"
NC_004567.2:976346-977233,NZ_CP025412.1,"NZ_CP025412.1 Lactobacillus plantarum strain X7021 chromosome, complete genome"
NC_004567.2:976346-977233,NZ_CP025991.1,"NZ_CP025991.1 Lactobacillus plantarum subsp. plantarum strain LB1-2 chromosome, complete genome"
NC_004567.2:976346-977233,NZ_CP021997.1,"NZ_CP021997.1 Lactobacillus plantarum strain LPL-1 chromosome, complete genome"
NC_004567.2:976346-977233,NZ_CP021528.1,"NZ_CP021528.1 Lactobacillus plantarum subsp. plantarum isolate SRCM100434 chromosome, complete genome"
NC_004567.2:976346-977233,NZ_CP017363.1,"NZ_CP017363.1 Lactobacillus plantarum strain TMW 1.277 chromosome, complete genome"
NC_004567.2:976346-977233,NZ_CP017354.1,"NZ_CP017354.1 Lactobacillus plantarum strain TMW 1.25 chromosome, complete genome"
NC_004567.2:976346-977233,NZ_CP013149.1,"NZ_CP013149.1 Lactobacillus plantarum strain MF1298, complete genome"
NC_004567.2:976346-977233,NZ_CP015857.1,"NZ_CP015857.1 Lactobacillus plantarum strain LZ227 chromosome, complete genome"
NC_004567.2:976346-977233,NZ_CP015966.1,"NZ_CP015966.1 Lactobacillus plantarum strain LZ206 chromosome, complete genome"
NC_004567.2:976346-977233,NZ_CP010528.1,"NZ_CP010528.1 Lactobacillus plantarum strain B21, complete genome"
NC_004567.2:976346-977233,NC_020229.1,"NC_020229.1 Lactobacillus plantarum ZJ316, complete genome"
NC_004567.2:976346-977233,NZ_CP032751.1,"NZ_CP032751.1 Lactobacillus plantarum subsp. argentoratensis strain DSM 16365 chromosome, complete genome"
NC_004567.2:976346-977233,NZ_CP012343.1,"NZ_CP012343.1 Lactobacillus plantarum strain ZS2058, complete genome"
NC_004567.2:976346-977233,NZ_CP025586.1,"NZ_CP025586.1 Lactobacillus plantarum strain KC3 chromosome, complete genome"
NC_004567.2:976346-977233,NZ_CP032744.1,"NZ_CP032744.1 Lactobacillus paraplantarum strain DSM 10667 chromosome, complete genome"
NC_004567.2:976346-977233,NZ_CP013130.1,"NZ_CP013130.1 Lactobacillus paraplantarum strain L-ZS9, complete genome"
NC_004567.2:976346-977233,NZ_CP032757.1,"NZ_CP032757.1 Lactobacillus pentosus strain DSM 20314 chromosome, complete genome"
NC_004567.2:976346-977233,NZ_CP032659.1,"NZ_CP032659.1 Lactobacillus pentosus strain ZFM94 chromosome, complete genome"
NC_004567.2:976346-977233,NZ_CP032654.1,"NZ_CP032654.1 Lactobacillus pentosus strain ZFM222 chromosome, complete genome"
NC_004567.2:976346-977233,NZ_CP016491.1,"NZ_CP016491.1 Lactobacillus pentosus strain BGM48 chromosome, complete genome"
NC_004567.2:976346-977233,NZ_CP022130.1,"NZ_CP022130.1 Lactobacillus pentosus strain SLC13 chromosome, complete genome"
NC_004567.2:976346-977233,NZ_CP027194.1,"NZ_CP027194.1 Lactobacillus sp. CBA3606 chromosome, complete genome"
NC_004567.2:976346-977233,NZ_CP027190.1,"NZ_CP027190.1 Lactobacillus sp. CBA3605 chromosome, complete genome"
NC_004567.2:976346-977233,NZ_CP031003.1,"NZ_CP031003.1 Lactobacillus curvatus strain TMW 1.1928 chromosome, complete genome"
NC_004567.2:976346-977233,NZ_CP029966.1,"NZ_CP029966.1 Lactobacillus curvatus strain ZJUNIT8 chromosome, complete genome"
NC_004567.2:976346-977233,NZ_CP022475.1,"NZ_CP022475.1 Lactobacillus curvatus strain KG6 chromosome, complete genome"
NC_004567.2:976346-977233,NZ_CP022474.1,"NZ_CP022474.1 Lactobacillus curvatus strain MRS6 chromosome, complete genome"
NC_004567.2:976346-977233,NZ_CP017124.1,"NZ_CP017124.1 Lactobacillus curvatus strain WiKim38, complete genome"
NC_004567.2:976346-977233,NZ_CP016602.1,"NZ_CP016602.1 Lactobacillus curvatus strain WiKim52 chromosome, complete genome"
NC_004567.2:976346-977233,NZ_CP016028.1,"NZ_CP016028.1 Lactobacillus curvatus strain FBA2, complete genome"
NC_004567.2:976346-977233,NZ_LT960790.1,"NZ_LT960790.1 Lactobacillus sakei strain J54 genome assembly, chromosome: 1"
NC_004567.2:976346-977233,NZ_LT960777.1,"NZ_LT960777.1 Lactobacillus sakei strain FLEC01 genome assembly, chromosome: 1"
NC_004567.2:976346-977233,NC_007576.1,NC_007576.1 Lactobacillus sakei strain 23K complete genome
NC_004567.2:976346-977233,NZ_CP025839.1,"NZ_CP025839.1 Lactobacillus sakei strain DS4 chromosome, complete genome"
NC_004567.2:976346-977233,NZ_LT960788.1,"NZ_LT960788.1 Lactobacillus sakei strain MFPB16A1401 genome assembly, chromosome: 1"
NC_004567.2:976346-977233,NZ_LT960781.1,"NZ_LT960781.1 Lactobacillus sakei strain J64 genome assembly, chromosome: 1"
NC_004567.2:976346-977233,NZ_CP032652.1,"NZ_CP032652.1 Lactobacillus sakei strain LZ217 chromosome, complete genome"
NC_004567.2:976346-977233,NZ_CP032640.1,"NZ_CP032640.1 Lactobacillus sakei strain ZFM229 chromosome, complete genome"
NC_004567.2:976346-977233,NZ_CP032633.1,"NZ_CP032633.1 Lactobacillus sakei strain ZFM220 chromosome, complete genome"
NC_004567.2:976346-977233,NZ_CP032635.1,"NZ_CP032635.1 Lactobacillus sakei strain ZFM225 chromosome, complete genome"
NC_004567.2:976346-977233,NZ_AP017931.1,"NZ_AP017931.1 Lactobacillus sakei DNA, complete genome, strain: LK-145"
NC_004567.2:976346-977233,NZ_CP020459.1,"NZ_CP020459.1 Lactobacillus sakei strain FAM18311 chromosome, complete genome"
NC_004567.2:976346-977233,NZ_CP025206.1,"NZ_CP025206.1 Lactobacillus sakei strain WiKim0074 chromosome, complete genome"
NC_004567.2:976346-977233,NZ_AP017929.1,"NZ_AP017929.1 Lactobacillus sakei subsp. sakei DSM 20017 = JCM 1157 DNA, complete genome, strain: LT-13"
NC_004567.2:976346-977233,NZ_CP022709.1,"NZ_CP022709.1 Lactobacillus sakei strain WiKim0063 chromosome, complete genome"
NC_004567.2:976346-977233,NZ_CP017697.1,"NZ_CP017697.1 Lactobacillus coryniformis subsp. torquens DSM 20004 = KCTC 3535, complete genome"
NC_004567.2:976346-977233,NZ_LT960784.1,"NZ_LT960784.1 Lactobacillus sakei isolate MFPB19 genome assembly, chromosome: 1"
NC_004567.2:976346-977233,NZ_CP017713.1,"NZ_CP017713.1 Lactobacillus coryniformis subsp. coryniformis KCTC 3167 = DSM 20001 chromosome, complete genome"
NC_004567.2:976346-977233,NZ_CP014899.1,"NZ_CP014899.1 Lactobacillus backii strain TMW 1.2002 chromosome, complete genome"
NC_004567.2:976346-977233,NZ_CP014890.1,"NZ_CP014890.1 Lactobacillus backii strain TMW 1.1992 chromosome, complete genome"
NC_004567.2:976346-977233,NZ_CP014881.1,"NZ_CP014881.1 Lactobacillus backii strain TMW 1.1991 chromosome, complete genome"
NC_004567.2:976346-977233,NZ_CP014873.1,"NZ_CP014873.1 Lactobacillus backii strain TMW 1.1989 chromosome, complete genome"
NC_004567.2:976346-977233,NZ_CP014623.1,"NZ_CP014623.1 Lactobacillus backii strain TMW 1.1988 chromosome, complete genome"
NC_004567.2:976346-977233,NZ_CP028285.1,"NZ_CP028285.1 Enterococcus faecalis strain FDAARGOS_324 chromosome, complete genome"
NC_004567.2:976346-977233,NZ_CP023515.1,"NZ_CP023515.1 Enterococcus sp. FDAARGOS_375 chromosome, complete genome"
